"ch_version","name","value","changed","description","type"
"21.3.4.25","min_compress_block_size","0",0,"When granule is written, compress the data in buffer if the size of pending uncompressed data is larger or equal than the specified threshold. If this setting is not set, the corresponding global setting is used.","UInt64"
"21.3.4.25","max_compress_block_size","0",0,"Compress the pending uncompressed data in buffer if its size is larger or equal than the specified threshold. Block of data will be compressed even if the current granule is not finished. If this setting is not set, the corresponding global setting is used.","UInt64"
"21.3.4.25","index_granularity","8192",0,"How many rows correspond to one primary key value.","UInt64"
"21.3.4.25","min_bytes_for_wide_part","10485760",0,"Minimal uncompressed size in bytes to create part in wide format instead of compact","UInt64"
"21.3.4.25","min_rows_for_wide_part","0",0,"Minimal number of rows to create part in wide format instead of compact","UInt64"
"21.3.4.25","min_bytes_for_compact_part","0",0,"Experimental. Minimal uncompressed size in bytes to create part in compact format instead of saving it in RAM","UInt64"
"21.3.4.25","min_rows_for_compact_part","0",0,"Experimental. Minimal number of rows to create part in compact format instead of saving it in RAM","UInt64"
"21.3.4.25","in_memory_parts_enable_wal","1",0,"Whether to write blocks in Native format to write-ahead-log before creation in-memory part","Bool"
"21.3.4.25","write_ahead_log_max_bytes","1073741824",0,"Rotate WAL, if it exceeds that amount of bytes","UInt64"
"21.3.4.25","merge_max_block_size","8192",0,"How many rows in blocks should be formed for merge operations.","UInt64"
"21.3.4.25","max_bytes_to_merge_at_max_space_in_pool","161061273600",0,"Maximum in total size of parts to merge, when there are maximum free threads in background pool (or entries in replication queue).","UInt64"
"21.3.4.25","max_bytes_to_merge_at_min_space_in_pool","1048576",0,"Maximum in total size of parts to merge, when there are minimum free threads in background pool (or entries in replication queue).","UInt64"
"21.3.4.25","max_replicated_merges_in_queue","16",0,"How many tasks of merging and mutating parts are allowed simultaneously in ReplicatedMergeTree queue.","UInt64"
"21.3.4.25","max_replicated_mutations_in_queue","8",0,"How many tasks of mutating parts are allowed simultaneously in ReplicatedMergeTree queue.","UInt64"
"21.3.4.25","max_replicated_merges_with_ttl_in_queue","1",0,"How many tasks of merging parts with TTL are allowed simultaneously in ReplicatedMergeTree queue.","UInt64"
"21.3.4.25","number_of_free_entries_in_pool_to_lower_max_size_of_merge","8",0,"When there is less than specified number of free entries in pool (or replicated queue), start to lower maximum size of merge to process (or to put in queue). This is to allow small merges to process - not filling the pool with long running merges.","UInt64"
"21.3.4.25","number_of_free_entries_in_pool_to_execute_mutation","10",0,"When there is less than specified number of free entries in pool, do not execute part mutations. This is to leave free threads for regular merges and avoid ""Too many parts""","UInt64"
"21.3.4.25","max_number_of_merges_with_ttl_in_pool","2",0,"When there is more than specified number of merges with TTL entries in pool, do not assign new merge with TTL. This is to leave free threads for regular merges and avoid ""Too many parts""","UInt64"
"21.3.4.25","old_parts_lifetime","480",0,"How many seconds to keep obsolete parts.","Seconds"
"21.3.4.25","temporary_directories_lifetime","86400",0,"How many seconds to keep tmp_-directories. You should not lower this value because merges and mutations may not be able to work with low value of this setting.","Seconds"
"21.3.4.25","lock_acquire_timeout_for_background_operations","120",0,"For background operations like merges, mutations etc. How many seconds before failing to acquire table locks.","Seconds"
"21.3.4.25","min_rows_to_fsync_after_merge","0",0,"Minimal number of rows to do fsync for part after merge (0 - disabled)","UInt64"
"21.3.4.25","min_compressed_bytes_to_fsync_after_merge","0",0,"Minimal number of compressed bytes to do fsync for part after merge (0 - disabled)","UInt64"
"21.3.4.25","min_compressed_bytes_to_fsync_after_fetch","0",0,"Minimal number of compressed bytes to do fsync for part after fetch (0 - disabled)","UInt64"
"21.3.4.25","fsync_after_insert","0",0,"Do fsync for every inserted part. Significantly decreases performance of inserts, not recommended to use with wide parts.","Bool"
"21.3.4.25","fsync_part_directory","0",0,"Do fsync for part directory after all part operations (writes, renames, etc.).","Bool"
"21.3.4.25","write_ahead_log_bytes_to_fsync","104857600",0,"Amount of bytes, accumulated in WAL to do fsync.","UInt64"
"21.3.4.25","write_ahead_log_interval_ms_to_fsync","100",0,"Interval in milliseconds after which fsync for WAL is being done.","UInt64"
"21.3.4.25","in_memory_parts_insert_sync","0",0,"If true insert of part with in-memory format will wait for fsync of WAL","Bool"
"21.3.4.25","parts_to_delay_insert","150",0,"If table contains at least that many active parts in single partition, artificially slow down insert into table.","UInt64"
"21.3.4.25","inactive_parts_to_delay_insert","0",0,"If table contains at least that many inactive parts in single partition, artificially slow down insert into table.","UInt64"
"21.3.4.25","parts_to_throw_insert","300",0,"If more than this number active parts in single partition, throw 'Too many parts ...' exception.","UInt64"
"21.3.4.25","inactive_parts_to_throw_insert","0",0,"If more than this number inactive parts in single partition, throw 'Too many inactive parts ...' exception.","UInt64"
"21.3.4.25","max_delay_to_insert","1",0,"Max delay of inserting data into MergeTree table in seconds, if there are a lot of unmerged parts in single partition.","UInt64"
"21.3.4.25","max_parts_in_total","100000",0,"If more than this number active parts in all partitions in total, throw 'Too many parts ...' exception.","UInt64"
"21.3.4.25","replicated_deduplication_window","100",0,"How many last blocks of hashes should be kept in ZooKeeper (old blocks will be deleted).","UInt64"
"21.3.4.25","replicated_deduplication_window_seconds","604800",0,"Similar to ""replicated_deduplication_window"", but determines old blocks by their lifetime. Hash of an inserted block will be deleted (and the block will not be deduplicated after) if it outside of one ""window"". You can set very big replicated_deduplication_window to avoid duplicating INSERTs during that period of time.","UInt64"
"21.3.4.25","max_replicated_logs_to_keep","1000",0,"How many records may be in log, if there is inactive replica. Inactive replica becomes lost when when this number exceed.","UInt64"
"21.3.4.25","min_replicated_logs_to_keep","10",0,"Keep about this number of last records in ZooKeeper log, even if they are obsolete. It doesn't affect work of tables: used only to diagnose ZooKeeper log before cleaning.","UInt64"
"21.3.4.25","prefer_fetch_merged_part_time_threshold","3600",0,"If time passed after replication log entry creation exceeds this threshold and sum size of parts is greater than ""prefer_fetch_merged_part_size_threshold"", prefer fetching merged part from replica instead of doing merge locally. To speed up very long merges.","Seconds"
"21.3.4.25","prefer_fetch_merged_part_size_threshold","10737418240",0,"If sum size of parts exceeds this threshold and time passed after replication log entry creation is greater than ""prefer_fetch_merged_part_time_threshold"", prefer fetching merged part from replica instead of doing merge locally. To speed up very long merges.","UInt64"
"21.3.4.25","execute_merges_on_single_replica_time_threshold","0",0,"When greater than zero only a single replica starts the merge immediately, others wait up to that amount of time to download the result instead of doing merges locally. If the chosen replica doesn't finish the merge during that amount of time, fallback to standard behavior happens.","Seconds"
"21.3.4.25","try_fetch_recompressed_part_timeout","7200",0,"Recompression works slow in most cases, so we don't start merge with recompression until this timeout and trying to fetch recompressed part from replica which assigned this merge with recompression.","Seconds"
"21.3.4.25","always_fetch_merged_part","0",0,"If true, replica never merge parts and always download merged parts from other replicas.","Bool"
"21.3.4.25","max_suspicious_broken_parts","10",0,"Max broken parts, if more - deny automatic deletion.","UInt64"
"21.3.4.25","max_files_to_modify_in_alter_columns","75",0,"Not apply ALTER if number of files for modification(deletion, addition) more than this.","UInt64"
"21.3.4.25","max_files_to_remove_in_alter_columns","50",0,"Not apply ALTER, if number of files for deletion more than this.","UInt64"
"21.3.4.25","replicated_max_ratio_of_wrong_parts","0.5",0,"If ratio of wrong parts to total number of parts is less than this - allow to start.","Float"
"21.3.4.25","replicated_max_parallel_fetches","0",0,"Limit parallel fetches.","UInt64"
"21.3.4.25","replicated_max_parallel_fetches_for_table","0",0,"Limit parallel fetches for one table.","UInt64"
"21.3.4.25","replicated_max_parallel_fetches_for_host","15",0,"Limit parallel fetches from endpoint (actually pool size).","UInt64"
"21.3.4.25","replicated_max_parallel_sends","0",0,"Limit parallel sends.","UInt64"
"21.3.4.25","replicated_max_parallel_sends_for_table","0",0,"Limit parallel sends for one table.","UInt64"
"21.3.4.25","replicated_can_become_leader","1",0,"If true, Replicated tables replicas on this node will try to acquire leadership.","Bool"
"21.3.4.25","zookeeper_session_expiration_check_period","60",0,"ZooKeeper session expiration check period, in seconds.","Seconds"
"21.3.4.25","detach_old_local_parts_when_cloning_replica","1",0,"Do not remove old local parts when repairing lost replica.","Bool"
"21.3.4.25","min_relative_delay_to_measure","120",0,"Calculate relative replica delay only if absolute delay is not less that this value.","UInt64"
"21.3.4.25","cleanup_delay_period","30",0,"Period to clean old queue logs, blocks hashes and parts.","UInt64"
"21.3.4.25","cleanup_delay_period_random_add","10",0,"Add uniformly distributed value from 0 to x seconds to cleanup_delay_period to avoid thundering herd effect and subsequent DoS of ZooKeeper in case of very large number of tables.","UInt64"
"21.3.4.25","min_relative_delay_to_close","300",0,"Minimal delay from other replicas to close, stop serving requests and not return Ok during status check.","UInt64"
"21.3.4.25","min_absolute_delay_to_close","0",0,"Minimal absolute delay to close, stop serving requests and not return Ok during status check.","UInt64"
"21.3.4.25","enable_vertical_merge_algorithm","1",0,"Enable usage of Vertical merge algorithm.","UInt64"
"21.3.4.25","vertical_merge_algorithm_min_rows_to_activate","131072",0,"Minimal (approximate) sum of rows in merging parts to activate Vertical merge algorithm.","UInt64"
"21.3.4.25","vertical_merge_algorithm_min_columns_to_activate","11",0,"Minimal amount of non-PK columns to activate Vertical merge algorithm.","UInt64"
"21.3.4.25","compatibility_allow_sampling_expression_not_in_primary_key","0",0,"Allow to create a table with sampling expression not in primary key. This is needed only to temporarily allow to run the server with wrong tables for backward compatibility.","Bool"
"21.3.4.25","use_minimalistic_checksums_in_zookeeper","1",0,"Use small format (dozens bytes) for part checksums in ZooKeeper instead of ordinary ones (dozens KB). Before enabling check that all replicas support new format.","Bool"
"21.3.4.25","use_minimalistic_part_header_in_zookeeper","1",0,"Store part header (checksums and columns) in a compact format and a single part znode instead of separate znodes (<part>/columns and <part>/checksums). This can dramatically reduce snapshot size in ZooKeeper. Before enabling check that all replicas support new format.","Bool"
"21.3.4.25","finished_mutations_to_keep","100",0,"How many records about mutations that are done to keep. If zero, then keep all of them.","UInt64"
"21.3.4.25","min_merge_bytes_to_use_direct_io","10737418240",0,"Minimal amount of bytes to enable O_DIRECT in merge (0 - disabled).","UInt64"
"21.3.4.25","index_granularity_bytes","10485760",0,"Approximate amount of bytes in single granule (0 - disabled).","UInt64"
"21.3.4.25","min_index_granularity_bytes","1024",0,"Minimum amount of bytes in single granule.","UInt64"
"21.3.4.25","merge_with_ttl_timeout","14400",0,"Minimal time in seconds, when merge with delete TTL can be repeated.","Int64"
"21.3.4.25","merge_with_recompression_ttl_timeout","14400",0,"Minimal time in seconds, when merge with recompression TTL can be repeated.","Int64"
"21.3.4.25","ttl_only_drop_parts","0",0,"Only drop altogether the expired parts and not partially prune them.","Bool"
"21.3.4.25","write_final_mark","1",0,"Write final mark after end of column (0 - disabled, do nothing if index_granularity_bytes=0)","Bool"
"21.3.4.25","enable_mixed_granularity_parts","1",0,"Enable parts with adaptive and non adaptive granularity","Bool"
"21.3.4.25","max_part_loading_threads","'auto(4)'",0,"The number of threads to load data parts at startup.","MaxThreads"
"21.3.4.25","max_part_removal_threads","'auto(4)'",0,"The number of threads for concurrent removal of inactive data parts. One is usually enough, but in 'Google Compute Environment SSD Persistent Disks' file removal (unlink) operation is extraordinarily slow and you probably have to increase this number (recommended is up to 16).","MaxThreads"
"21.3.4.25","concurrent_part_removal_threshold","100",0,"Activate concurrent part removal (see 'max_part_removal_threads') only if the number of inactive data parts is at least this.","UInt64"
"21.3.4.25","storage_policy","default",0,"Name of storage disk policy","String"
"21.3.4.25","allow_nullable_key","0",0,"Allow Nullable types as primary keys.","Bool"
"21.3.4.25","remove_empty_parts","1",0,"Remove empty parts after they were pruned by TTL, mutation, or collapsing merge algorithm","Bool"
"21.3.4.25","assign_part_uuids","0",0,"Generate UUIDs for parts. Before enabling check that all replicas support new format.","Bool"
"21.3.4.25","max_partitions_to_read","-1",0,"Limit the max number of partitions that can be accessed in one query. <= 0 means unlimited. This setting is the default that can be overridden by the query-level setting with the same name.","Int64"
"21.3.4.25","max_concurrent_queries","0",0,"Max number of concurrently executed queries related to the MergeTree table (0 - disabled). Queries will still be limited by other max_concurrent_queries settings.","UInt64"
"21.3.4.25","min_marks_to_honor_max_concurrent_queries","0",0,"Minimal number of marks to honor the MergeTree-level's max_concurrent_queries (0 - disabled). Queries will still be limited by other max_concurrent_queries settings.","UInt64"
"21.3.4.25","min_relative_delay_to_yield_leadership","120",0,"Obsolete setting, does nothing.","UInt64"
"21.3.4.25","check_delay_period","60",0,"Obsolete setting, does nothing.","UInt64"
"21.3.4.25","allow_floating_point_partition_key","0",0,"Allow floating point as partition key","Bool"
